,ref
7465,"Though in the short run influences of languages and dialects on each other may result in distortion and ridiculous or embarrassing absurdities, the longterm fruit of linguistic cross-pollination appears to be enrichment, of which the English language provides a shining example."
7466,This is also a timely book in light of the wide interest in post-Soviet Russia.
7467,"As tourism and economic relations develop, so does interest in the Russian language."
7468,"However, students of a foreign language soon realize that to master it fully, it is not enough to know the grammatical structure and basic vocabulary: one must also memorize a fair number of phrases and idiomatic expressions and, as a further step, proverbs and sayings."
7469,"The popularity of proverbs in Soviet Russia has been reflected in scores of dictionaries, printed in practically all Soviet republics."
7470,"The communist leaders, including Lenin, recognized early the propaganda value of conveniently selected entries in the hands of what the communists called agitators, apparatchiks and politruks political leaders."
7471,Most of their publications excluded religious and capitalist proverbs and sayings.
7472,They encouraged instead the proliferation of proletarian publications which were sold at very low prices.
7473,"Against the large number of Soviet dictionaries of only Russian proverbs, comparative and bilingual dictionaries, Russian-English ones were rarely published and they contained between 500 and a couple of thousand entries only."
7474,"That is why Peter Mertvago's dictionary of 5,500 entries is a useful addition to comparative paremiographical literature."
7475,The compiler starts with a short introduction dealing with the definition of proverb.
7476,This is a thankless and practically insoluble task.
7477,"He quotes Permiakov's formulation, Proverbs and proverbial phrases are signs of situations or of a certain type of relationship between objects --not particularly lucid."
7478,The Introduction touches on the origin of proverbs and their similarity in other languages.
7479,It also started an inter-borrowing from common historical and cultural antecedents.
7480,Mertvago also deals with the difference between a proverb and a saying.
7481,"He quotes the Russian proverb, Pogovorka-tsvetok, poslovitsa-- yagodka a saying is a flower, a proverb is a berry."
7482,The relative brevity of many Russian proverbs stems from the fact that the Russian language has no articles and also resorts idiomatically to participial condensation by not using oblique forms of the verb to be .
7483,Alliteration and rhyme help to memorize them.
7484,"Where there is no equivalent the dictionary gives a corresponding English version, sometimes a few variants."
